country,year,response,month,covid
Portugal,2011,0.16,MAY,no
Serbia,2011,0.18,MAY,no
Russian Federation (the),2011,0.17,MAY,no
Sweden,2011,0.01,MAY,no
Singapore,2011,0.03,MAY,no
Slovakia,2011,0.15,MAY,no
Turkey,2011,0.25,MAY,no
Trinidad and Tobago,2011,0.55,MAY,no
Taiwan ,2011,0.13,MAY,no
"Tanzania, United Republic of",2011,0.01,MAY,no
Ukraine,2011,0.23,MAY,no
United States of America (the),2011,0.15,MAY,no
Venezuela (Bolivarian Republic of),2011,0.08,MAY,no
Vietnam,2011,0.05,MAY,no
South Africa,2011,0.04,MAY,no
Argentina,2012,0.09,MAR,no
Austria,2012,0.06,MAR,no
Australia,2012,0.11,MAR,no
Begium,2012,0.03,MAR,no
Bulgaria,2012,0.00,MAR,no
Bolivia (Plurinational State of),2012,0.13,MAR,no
Brazil,2012,0.10,MAR,no
Botswana,2012,0.08,MAR,no
Belize,2012,0.22,MAR,no
Canada,2012,0.03,MAR,no
Switzerland,2012,0.02,MAR,no
Chile,2012,0.14,MAR,no
China,2012,0.02,MAR,no
Colombia,2012,0.07,MAR,no
Costa Rica,2012,0.15,MAR,no
Cuba,2012,0.10,MAR,no
Czechia,2012,0.07,MAR,no
Germany,2012,0.08,MAR,no
Denmark,2012,0.01,MAR,no
Dominican Republic (the),2012,0.09,MAR,no
Ecuador,2012,0.38,MAR,no
Egypt,2012,0.01,MAR,no
Spain,2012,0.08,MAR,no
Finland,2012,0.02,MAR,no
France,2012,0.03,MAR,no
United Kingdom of Great Britain and Northern Ireland (the),2012,0.08,MAR,no
Greece,2012,0.05,MAR,no
Hong Kong,2012,0.06,MAR,no
Honduras,2012,0.08,MAR,no
Hungary,2012,0.20,MAR,no
Indonesia,2012,0.05,MAR,no
Ireland,2012,0.02,MAR,no
Israel,2012,0.12,MAR,no
India,2012,0.12,MAR,no
Italy,2012,0.03,MAR,no
Japan,2012,0.05,MAR,no
Kenya,2012,0.02,MAR,no
Cambodia,2012,0.08,MAR,no
Korea (the Republic of),2012,0.18,MAR,no
Kazakhstan,2012,0.02,MAR,no
Sri Lanka,2012,0.05,MAR,no
Lithuania,2012,0.02,MAR,no
Morocco,2012,0.25,MAR,no
Madagascar,2012,0.02,MAR,no
Mexico,2012,0.11,MAR,no
Malaysia,2012,0.09,MAR,no
Nigeria,2012,0.07,MAR,no
Nicaragua,2012,0.11,MAR,no
Netherlands (the),2012,0.07,MAR,no
Norway,2012,0.01,MAR,no
New Zealand,2012,0.15,MAR,no
Panama,2012,0.04,MAR,no
Peru,2012,0.04,MAR,no
Philippines (the),2012,0.14,MAR,no
Poland,2012,0.02,MAR,no
Portugal,2012,0.17,MAR,no
Serbia,2012,0.02,MAR,no
Russian Federation (the),2012,0.01,MAR,no
Sweden,2012,0.00,MAR,no
Singapore,2012,0.11,MAR,no
Slovakia,2012,0.17,MAR,no
Turkey,2012,,MAR,no
Trinidad and Tobago,2012,0.35,MAR,no
Taiwan ,2012,0.07,MAR,no
"Tanzania, United Republic of",2012,0.01,MAR,no
Ukraine,2012,0.03,MAR,no
United States of America (the),2012,0.08,MAR,no
Venezuela (Bolivarian Republic of),2012,0.13,MAR,no
Vietnam,2012,0.03,MAR,no
South Africa,2012,0.08,MAR,no
Argentina,2012,0.07,APR,no
Austria,2012,0.06,APR,no
Australia,2012,0.15,APR,no
Begium,2012,,APR,no
Bulgaria,2012,0.01,APR,no
Bolivia (Plurinational State of),2012,0.04,APR,no
Brazil,2012,0.10,APR,no
Botswana,2012,0.06,APR,no
Belize,2012,0.05,APR,no
Canada,2012,0.07,APR,no
Switzerland,2012,0.03,APR,no
Chile,2012,0.01,APR,no
China,2012,0.01,APR,no
Colombia,2012,0.20,APR,no
Costa Rica,2012,0.28,APR,no
Cuba,2012,0.43,APR,no
Czechia,2012,0.16,APR,no
Germany,2012,0.13,APR,no
Denmark,2012,0.02,APR,no
Dominican Republic (the),2012,0.15,APR,no
Ecuador,2012,0.05,APR,no
Egypt,2012,0.10,APR,no
Spain,2012,0.08,APR,no
Finland,2012,0.03,APR,no
France,2012,0.08,APR,no
United Kingdom of Great Britain and Northern Ireland (the),2012,0.10,APR,no
Greece,2012,0.06,APR,no
Hong Kong,2012,0.13,APR,no
Honduras,2012,0.05,APR,no
Hungary,2012,,APR,no
Indonesia,2012,0.02,APR,no
Ireland,2012,0.02,APR,no
Israel,2012,0.24,APR,no
India,2012,0.25,APR,no
Italy,2012,0.06,APR,no
Japan,2012,0.10,APR,no
Kenya,2012,0.02,APR,no
Cambodia,2012,0.08,APR,no
Korea (the Republic of),2012,0.14,APR,no
Kazakhstan,2012,0.15,APR,no
Sri Lanka,2012,0.06,APR,no
Lithuania,2012,0.22,APR,no
Morocco,2012,0.22,APR,no
Madagascar,2012,0.36,APR,no
Mexico,2012,0.10,APR,no
Malaysia,2012,0.05,APR,no
Nigeria,2012,0.04,APR,no
Nicaragua,2012,0.02,APR,no
Netherlands (the),2012,0.12,APR,no
Norway,2012,0.04,APR,no
New Zealand,2012,0.12,APR,no
Panama,2012,0.04,APR,no
Peru,2012,0.21,APR,no
Philippines (the),2012,0.12,APR,no
Poland,2012,0.13,APR,no
Portugal,2012,0.09,APR,no
Serbia,2012,0.18,APR,no
Russian Federation (the),2012,0.07,APR,no
Sweden,2012,0.08,APR,no
Singapore,2012,0.03,APR,no
Slovakia,2012,0.16,APR,no
Turkey,2012,0.40,APR,no
Trinidad and Tobago,2012,0.13,APR,no
Taiwan ,2012,0.20,APR,no
"Tanzania, United Republic of",2012,0.02,APR,no
Ukraine,2012,0.18,APR,no
United States of America (the),2012,0.13,APR,no
Venezuela (Bolivarian Republic of),2012,0.33,APR,no
Vietnam,2012,0.19,APR,no
South Africa,2012,0.08,APR,no
Argentina,2012,0.05,MAY,no
Austria,2012,0.17,MAY,no
Australia,2012,0.09,MAY,no
Begium,2012,0.32,MAY,no
Bulgaria,2012,0.03,MAY,no
Bolivia (Plurinational State of),2012,0.14,MAY,no
Brazil,2012,0.09,MAY,no
Botswana,2012,0.03,MAY,no
Belize,2012,0.15,MAY,no
Canada,2012,0.17,MAY,no
Switzerland,2012,0.12,MAY,no
Chile,2012,0.05,MAY,no
China,2012,0.32,MAY,no
Colombia,2012,0.02,MAY,no
Costa Rica,2012,0.04,MAY,no
Cuba,2012,0.01,MAY,no
Czechia,2012,0.30,MAY,no
Germany,2012,0.23,MAY,no
Denmark,2012,0.16,MAY,no
Dominican Republic (the),2012,0.08,MAY,no
Ecuador,2012,0.07,MAY,no
Egypt,2012,0.41,MAY,no
Spain,2012,0.13,MAY,no
Finland,2012,0.16,MAY,no
France,2012,0.14,MAY,no
United Kingdom of Great Britain and Northern Ireland (the),2012,0.22,MAY,no
Greece,2012,0.24,MAY,no
Hong Kong,2012,0.17,MAY,no
Honduras,2012,0.14,MAY,no
Hungary,2012,0.10,MAY,no
Indonesia,2012,0.08,MAY,no
Ireland,2012,0.14,MAY,no
Israel,2012,0.01,MAY,no
India,2012,0.09,MAY,no
Italy,2012,0.13,MAY,no
Japan,2012,0.09,MAY,no
Kenya,2012,0.18,MAY,no
Cambodia,2012,0.08,MAY,no
Korea (the Republic of),2012,0.15,MAY,no
Kazakhstan,2012,0.63,MAY,no
Sri Lanka,2012,0.05,MAY,no
Lithuania,2012,0.18,MAY,no
Morocco,2012,0.22,MAY,no
Madagascar,2012,0.06,MAY,no
Mexico,2012,0.08,MAY,no
Malaysia,2012,0.02,MAY,no
Nigeria,2012,0.07,MAY,no
Nicaragua,2012,0.02,MAY,no
Netherlands (the),2012,0.26,MAY,no
Norway,2012,0.04,MAY,no
New Zealand,2012,0.05,MAY,no
Panama,2012,0.08,MAY,no
Peru,2012,0.04,MAY,no
Philippines (the),2012,0.07,MAY,no
Poland,2012,0.27,MAY,no
Portugal,2012,0.20,MAY,no
Serbia,2012,0.15,MAY,no
Russian Federation (the),2012,0.18,MAY,no
Sweden,2012,0.23,MAY,no
Singapore,2012,0.04,MAY,no
Slovakia,2012,0.20,MAY,no
Turkey,2012,0.24,MAY,no
Trinidad and Tobago,2012,0.08,MAY,no
Taiwan ,2012,0.10,MAY,no
"Tanzania, United Republic of",2012,0.03,MAY,no
Ukraine,2012,0.38,MAY,no
United States of America (the),2012,0.17,MAY,no
Venezuela (Bolivarian Republic of),2012,0.15,MAY,no
Vietnam,2012,0.07,MAY,no
South Africa,2012,0.10,MAY,no
Argentina,2013,0.17,MAR,no
Austria,2013,0.04,MAR,no
Australia,2013,0.12,MAR,no
Begium,2013,0.03,MAR,no
Bulgaria,2013,0.01,MAR,no
Bolivia (Plurinational State of),2013,0.23,MAR,no
Brazil,2013,0.09,MAR,no
Botswana,2013,0.12,MAR,no
Belize,2013,0.04,MAR,no
Canada,2013,0.03,MAR,no
Switzerland,2013,0.02,MAR,no
Chile,2013,0.07,MAR,no
China,2013,0.13,MAR,no
Colombia,2013,0.18,MAR,no
Costa Rica,2013,0.07,MAR,no
Cuba,2013,0.54,MAR,no
Czechia,2013,0.01,MAR,no
Germany,2013,0.04,MAR,no
Denmark,2013,0.03,MAR,no
Dominican Republic (the),2013,0.10,MAR,no
Ecuador,2013,0.16,MAR,no
Egypt,2013,0.00,MAR,no
Spain,2013,0.05,MAR,no
Finland,2013,0.02,MAR,no
France,2013,0.09,MAR,no
United Kingdom of Great Britain and Northern Ireland (the),2013,0.05,MAR,no
Greece,2013,0.13,MAR,no
Hong Kong,2013,0.09,MAR,no
Honduras,2013,0.03,MAR,no
Hungary,2013,0.06,MAR,no
Indonesia,2013,0.05,MAR,no
Ireland,2013,0.02,MAR,no
Israel,2013,0.60,MAR,no
India,2013,0.07,MAR,no
Italy,2013,0.04,MAR,no
Japan,2013,0.08,MAR,no
Kenya,2013,0.06,MAR,no
Cambodia,2013,0.15,MAR,no
Korea (the Republic of),2013,0.05,MAR,no
Kazakhstan,2013,,MAR,no
Sri Lanka,2013,0.18,MAR,no
Lithuania,2013,0.06,MAR,no
Morocco,2013,0.76,MAR,no
Madagascar,2013,0.14,MAR,no
Mexico,2013,0.10,MAR,no
Malaysia,2013,0.02,MAR,no
Nigeria,2013,0.22,MAR,no
Nicaragua,2013,0.09,MAR,no
Netherlands (the),2013,0.04,MAR,no
Norway,2013,0.51,MAR,no
New Zealand,2013,0.15,MAR,no
Panama,2013,0.16,MAR,no
Peru,2013,0.06,MAR,no
Philippines (the),2013,0.11,MAR,no
Poland,2013,0.01,MAR,no
Portugal,2013,0.05,MAR,no
Serbia,2013,0.06,MAR,no
Russian Federation (the),2013,0.01,MAR,no
Sweden,2013,0.03,MAR,no
Singapore,2013,0.01,MAR,no
Slovakia,2013,0.03,MAR,no
Turkey,2013,0.06,MAR,no
Trinidad and Tobago,2013,0.14,MAR,no
Taiwan ,2013,0.08,MAR,no
"Tanzania, United Republic of",2013,0.16,MAR,no
Ukraine,2013,0.01,MAR,no
United States of America (the),2013,0.08,MAR,no
Venezuela (Bolivarian Republic of),2013,0.11,MAR,no
Vietnam,2013,0.07,MAR,no
South Africa,2013,0.11,MAR,no
Argentina,2013,0.07,APR,no
Austria,2013,0.07,APR,no
Australia,2013,0.12,APR,no
Begium,2013,0.13,APR,no
Bulgaria,2013,0.14,APR,no
Bolivia (Plurinational State of),2013,0.18,APR,no
Brazil,2013,0.05,APR,no
Botswana,2013,0.06,APR,no
Belize,2013,0.04,APR,no
Canada,2013,0.07,APR,no
Switzerland,2013,0.04,APR,no
Chile,2013,0.08,APR,no
China,2013,0.12,APR,no
Colombia,2013,0.07,APR,no
Costa Rica,2013,0.14,APR,no
Cuba,2013,0.03,APR,no
Czechia,2013,0.12,APR,no
Germany,2013,0.06,APR,no
Denmark,2013,0.03,APR,no
Dominican Republic (the),2013,0.14,APR,no
Ecuador,2013,0.08,APR,no
Egypt,2013,0.09,APR,no
Spain,2013,0.13,APR,no
Finland,2013,0.12,APR,no
France,2013,0.07,APR,no
United Kingdom of Great Britain and Northern Ireland (the),2013,0.08,APR,no
Greece,2013,0.14,APR,no
Hong Kong,2013,0.16,APR,no
Honduras,2013,0.19,APR,no
Hungary,2013,0.05,APR,no
Indonesia,2013,0.38,APR,no
Ireland,2013,0.02,APR,no
Israel,2013,0.09,APR,no
India,2013,0.13,APR,no
Italy,2013,0.13,APR,no
Japan,2013,0.11,APR,no
Kenya,2013,0.12,APR,no
Cambodia,2013,0.02,APR,no
Korea (the Republic of),2013,0.05,APR,no
Kazakhstan,2013,0.07,APR,no
Sri Lanka,2013,0.05,APR,no
Lithuania,2013,0.23,APR,no
Morocco,2013,0.03,APR,no
Madagascar,2013,0.34,APR,no
Mexico,2013,0.08,APR,no
Malaysia,2013,0.03,APR,no
Nigeria,2013,0.17,APR,no
Nicaragua,2013,0.13,APR,no
Netherlands (the),2013,0.07,APR,no
Norway,2013,0.10,APR,no
New Zealand,2013,0.16,APR,no
Panama,2013,0.07,APR,no
Peru,2013,0.08,APR,no
Philippines (the),2013,0.08,APR,no
Poland,2013,0.05,APR,no
Portugal,2013,0.09,APR,no
Serbia,2013,0.26,APR,no
Russian Federation (the),2013,0.07,APR,no
Sweden,2013,0.13,APR,no
Singapore,2013,0.16,APR,no
Slovakia,2013,0.13,APR,no
Turkey,2013,0.11,APR,no
Trinidad and Tobago,2013,0.07,APR,no
Taiwan ,2013,0.17,APR,no
"Tanzania, United Republic of",2013,0.03,APR,no
Ukraine,2013,0.09,APR,no
United States of America (the),2013,0.12,APR,no
Venezuela (Bolivarian Republic of),2013,0.05,APR,no
Vietnam,2013,0.07,APR,no
South Africa,2013,0.11,APR,no
Argentina,2013,0.07,MAY,no
Austria,2013,0.09,MAY,no
Australia,2013,0.08,MAY,no
Begium,2013,0.05,MAY,no
Bulgaria,2013,0.06,MAY,no
Bolivia (Plurinational State of),2013,0.13,MAY,no
Brazil,2013,0.09,MAY,no
Botswana,2013,0.08,MAY,no
Belize,2013,0.30,MAY,no
Canada,2013,0.16,MAY,no
Switzerland,2013,0.21,MAY,no
Chile,2013,0.03,MAY,no
China,2013,0.13,MAY,no
Colombia,2013,0.13,MAY,no
Costa Rica,2013,0.07,MAY,no
Cuba,2013,,MAY,no
Czechia,2013,0.22,MAY,no
Germany,2013,0.10,MAY,no
Denmark,2013,0.14,MAY,no
Dominican Republic (the),2013,0.02,MAY,no
Ecuador,2013,0.05,MAY,no
Egypt,2013,0.05,MAY,no
Spain,2013,0.26,MAY,no
Finland,2013,0.15,MAY,no
France,2013,0.18,MAY,no
United Kingdom of Great Britain and Northern Ireland (the),2013,0.18,MAY,no
Greece,2013,0.11,MAY,no
Hong Kong,2013,0.18,MAY,no
Honduras,2013,0.27,MAY,no
Hungary,2013,0.23,MAY,no
Indonesia,2013,0.05,MAY,no
Ireland,2013,0.25,MAY,no
Israel,2013,0.07,MAY,no
India,2013,0.08,MAY,no
Italy,2013,0.16,MAY,no
Japan,2013,0.17,MAY,no
Kenya,2013,0.02,MAY,no
Cambodia,2013,0.22,MAY,no
Korea (the Republic of),2013,0.12,MAY,no
Kazakhstan,2013,0.26,MAY,no
Sri Lanka,2013,0.02,MAY,no
Lithuania,2013,0.10,MAY,no
Morocco,2013,0.07,MAY,no
Madagascar,2013,0.07,MAY,no
Mexico,2013,0.11,MAY,no
Malaysia,2013,0.05,MAY,no
Nigeria,2013,0.06,MAY,no
Nicaragua,2013,0.12,MAY,no
Netherlands (the),2013,0.11,MAY,no
Norway,2013,0.00,MAY,no
New Zealand,2013,0.08,MAY,no
Panama,2013,0.23,MAY,no
Peru,2013,0.03,MAY,no
Philippines (the),2013,0.08,MAY,no
Poland,2013,0.09,MAY,no
Portugal,2013,0.16,MAY,no
Serbia,2013,0.12,MAY,no
Russian Federation (the),2013,0.17,MAY,no
Sweden,2013,0.12,MAY,no
Singapore,2013,0.14,MAY,no
Slovakia,2013,0.18,MAY,no
Turkey,2013,0.39,MAY,no
Trinidad and Tobago,2013,0.15,MAY,no
Taiwan ,2013,0.16,MAY,no
"Tanzania, United Republic of",2013,0.12,MAY,no
Ukraine,2013,0.37,MAY,no
United States of America (the),2013,0.14,MAY,no
Venezuela (Bolivarian Republic of),2013,0.07,MAY,no
Vietnam,2013,0.08,MAY,no
South Africa,2013,0.08,MAY,no
Argentina,2014,0.14,MAR,no
Austria,2014,0.07,MAR,no
Australia,2014,0.10,MAR,no
Begium,2014,0.11,MAR,no
Bulgaria,2014,0.04,MAR,no
Bolivia (Plurinational State of),2014,0.16,MAR,no
Brazil,2014,0.06,MAR,no
Botswana,2014,0.03,MAR,no
Belize,2014,0.07,MAR,no
Canada,2014,0.03,MAR,no
Switzerland,2014,0.02,MAR,no
Chile,2014,0.08,MAR,no
China,2014,0.05,MAR,no
Colombia,2014,0.04,MAR,no
Costa Rica,2014,0.31,MAR,no
Cuba,2014,0.03,MAR,no
Czechia,2014,0.02,MAR,no
Germany,2014,0.04,MAR,no
Denmark,2014,0.03,MAR,no
Dominican Republic (the),2014,0.05,MAR,no
Ecuador,2014,0.10,MAR,no
Egypt,2014,0.00,MAR,no
Spain,2014,0.13,MAR,no
Finland,2014,0.06,MAR,no
France,2014,0.05,MAR,no
United Kingdom of Great Britain and Northern Ireland (the),2014,0.06,MAR,no
Greece,2014,0.05,MAR,no
Hong Kong,2014,0.11,MAR,no
Honduras,2014,0.07,MAR,no
Hungary,2014,0.06,MAR,no
Indonesia,2014,0.08,MAR,no
Ireland,2014,0.00,MAR,no
Israel,2014,0.13,MAR,no
India,2014,0.18,MAR,no
Italy,2014,0.07,MAR,no
Japan,2014,0.15,MAR,no
Kenya,2014,0.04,MAR,no
Cambodia,2014,0.05,MAR,no
Korea (the Republic of),2014,0.03,MAR,no
Kazakhstan,2014,0.04,MAR,no
Sri Lanka,2014,0.01,MAR,no
Lithuania,2014,0.09,MAR,no
Morocco,2014,0.34,MAR,no
Madagascar,2014,0.18,MAR,no
Mexico,2014,0.10,MAR,no
Malaysia,2014,0.27,MAR,no
Nigeria,2014,0.17,MAR,no
Nicaragua,2014,0.28,MAR,no
Netherlands (the),2014,0.05,MAR,no
Norway,2014,0.72,MAR,no
New Zealand,2014,0.13,MAR,no
Panama,2014,0.22,MAR,no
Peru,2014,0.13,MAR,no
Philippines (the),2014,0.01,MAR,no
Poland,2014,0.07,MAR,no
Portugal,2014,0.05,MAR,no
Serbia,2014,0.06,MAR,no
Russian Federation (the),2014,0.02,MAR,no
Sweden,2014,0.03,MAR,no
Singapore,2014,0.07,MAR,no
Slovakia,2014,0.15,MAR,no
Turkey,2014,0.02,MAR,no
Trinidad and Tobago,2014,0.06,MAR,no
Taiwan ,2014,0.13,MAR,no
"Tanzania, United Republic of",2014,0.07,MAR,no
Ukraine,2014,0.08,MAR,no
United States of America (the),2014,0.09,MAR,no
Venezuela (Bolivarian Republic of),2014,0.10,MAR,no
Vietnam,2014,0.27,MAR,no
South Africa,2014,0.11,MAR,no
Argentina,2014,0.10,APR,no
Austria,2014,0.12,APR,no
Australia,2014,0.09,APR,no
Begium,2014,0.23,APR,no
Bulgaria,2014,0.07,APR,no
Bolivia (Plurinational State of),2014,0.06,APR,no
Brazil,2014,0.11,APR,no
Botswana,2014,0.06,APR,no
Belize,2014,0.12,APR,no
Canada,2014,0.06,APR,no
Switzerland,2014,0.04,APR,no
Chile,2014,0.06,APR,no
China,2014,0.05,APR,no
Colombia,2014,0.08,APR,no
Costa Rica,2014,0.08,APR,no
Cuba,2014,0.01,APR,no
Czechia,2014,0.13,APR,no
Germany,2014,0.07,APR,no
Denmark,2014,0.08,APR,no
Dominican Republic (the),2014,0.02,APR,no
Ecuador,2014,0.04,APR,no
Egypt,2014,0.02,APR,no
Spain,2014,0.11,APR,no
Finland,2014,0.08,APR,no
France,2014,0.07,APR,no
United Kingdom of Great Britain and Northern Ireland (the),2014,0.10,APR,no
Greece,2014,0.10,APR,no
Hong Kong,2014,0.11,APR,no
Honduras,2014,0.42,APR,no
Hungary,2014,0.24,APR,no
Indonesia,2014,0.04,APR,no
Ireland,2014,0.03,APR,no
Israel,2014,0.12,APR,no
India,2014,0.07,APR,no
Italy,2014,0.16,APR,no
Japan,2014,0.10,APR,no
Kenya,2014,0.00,APR,no
Cambodia,2014,0.02,APR,no
Korea (the Republic of),2014,0.07,APR,no
Kazakhstan,2014,0.04,APR,no
Sri Lanka,2014,0.34,APR,no
Lithuania,2014,0.12,APR,no
Morocco,2014,0.34,APR,no
Madagascar,2014,0.25,APR,no
Mexico,2014,0.12,APR,no
Malaysia,2014,0.05,APR,no
Nigeria,2014,0.08,APR,no
